State,2013,2014,2015,2016,2017,2018
Alabama,7.2,6.8,6.1,5.8,4.4,3.9
Alaska,7.0,6.9,6.5,6.9,7.0,6.6
Arizona,7.7,6.8,6.1,5.4,4.9,4.8
Arkansas,7.2,6.0,5.0,4.0,3.7,3.7
California,8.9,7.5,6.2,5.5,4.8,4.2
Colorado,6.9,5.0,3.9,3.2,2.7,3.3
Connecticut,7.8,6.6,5.7,5.1,4.7,4.1
Delaware,6.7,5.7,4.9,4.5,4.5,3.8
District of Columbia,8.5,7.8,6.9,6.1,6.1,5.6
Florida,7.2,6.3,5.5,4.8,4.2,3.6
Georgia,8.2,7.1,6.0,5.4,4.7,3.9
Hawaii,4.9,4.4,3.6,3.0,2.4,2.4
Idaho,6.1,4.8,4.2,3.8,3.2,2.8
Illinois,9.0,7.1,6.0,5.8,4.9,4.3
Indiana,7.7,6.0,4.8,4.4,3.6,3.4
Iowa,4.7,4.2,3.8,3.6,3.1,2.5
Kansas,5.3,4.5,4.2,4.0,3.7,3.4
Kentucky,8.0,6.5,5.3,5.1,4.9,4.3
Louisiana,6.7,6.4,6.3,6.1,5.1,4.9
Maine,6.6,5.6,4.4,3.8,3.4,3.4
Maryland,6.6,5.8,5.1,4.5,4.3,3.9
Massachusetts,6.7,5.7,4.8,3.9,3.8,3.3
Michigan,8.8,7.2,5.4,5.0,4.6,4.1
Minnesota,5.0,4.2,3.7,3.9,3.4,2.9
Mississippi,8.5,7.5,6.4,5.8,5.1,4.8
Missouri,6.7,6.1,5.0,4.6,3.8,3.2
Montana,5.4,4.7,4.2,4.1,3.9,3.7
Nebraska,3.8,3.3,3.0,3.1,2.9,2.8
Nevada,9.6,7.9,6.8,5.7,5.1,4.6
New Hampshire,5.1,4.3,3.4,2.9,2.7,2.5
New Jersey,8.2,6.8,5.8,5.0,4.6,4.1
New Mexico,6.9,6.7,6.5,6.6,5.9,4.9
New York,7.7,6.3,5.3,4.9,4.7,4.1
North Carolina,8.0,6.3,5.7,5.1,4.5,3.9
North Dakota,2.9,2.7,2.8,3.1,2.7,2.6
Ohio,7.5,5.8,4.9,5.0,5.0,4.6
Oklahoma,5.3,4.5,4.4,4.8,4.2,3.4
Oregon,7.9,6.8,5.6,4.8,4.1,4.2
Pennsylvania,7.4,5.9,5.3,5.4,4.9,4.3
Rhode Island,9.3,7.7,6.0,5.2,4.4,4.1
South Carolina,7.6,6.5,6.0,5.0,4.3,3.4
South Dakota,3.8,3.4,3.1,3.0,3.2,3.0
Tennessee,7.8,6.6,5.6,4.7,3.8,3.5
Texas,6.3,5.1,4.4,4.6,4.3,3.9
Utah,4.6,3.8,3.6,3.4,3.3,3.1
Vermont,4.4,3.9,3.6,3.2,3.0,2.7
Virginia,5.7,5.2,4.5,4.1,3.7,3.0
Washington,7.0,6.1,5.6,5.3,4.7,4.5
West Virginia,6.8,6.6,6.7,6.1,5.2,5.3
Wisconsin,6.7,5.4,4.6,4.0,3.3,3.0
Wyoming,4.7,4.1,4.3,5.3,4.2,4.1
