State Code,State Name,State Abbreviation,Region Code,Region Name,Division Code,X,Y
1,Alabama,AL,3,South,6,5,6
2,Alaska,AK,4,West,9,6,1
4,Arizona,AZ,4,West,8,4,1
5,Arkansas,AR,3,South,7,4,4
6,California,CA,4,West,9,3,0
8,Colorado,CO,4,West,8,3,2
9,Connecticut,CT,1,Northeast,1,2,9
10,Delaware,DE,3,South,5,3,9
11,District of Columbia,DC,3,South,5,4,8
12,Florida,FL,3,South,5,6,8
13,Georgia,GA,3,South,5,5,7
15,Hawaii,HI,4,West,9,6,0
16,Idaho,ID,4,West,8,1,1
17,Illinois,IL,2,Midwest,3,1,5
18,Indiana,IN,2,Midwest,3,2,5
19,Iowa,IA,2,Midwest,4,2,4
20,Kansas,KS,2,Midwest,4,4,3
21,Kentucky,KY,3,South,6,3,5
22,Louisiana,LA,3,South,7,5,4
23,Maine,ME,1,Northeast,1,0,10
24,Maryland,MD,3,South,5,3,8
25,Massachusetts,MA,1,Northeast,1,1,9
26,Michigan,MI,2,Midwest,3,1,6
27,Minnesota,MN,2,Midwest,4,1,4
28,Mississippi,MS,3,South,6,5,5
29,Missouri,MO,2,Midwest,4,3,4
30,Montana,MT,4,West,8,1,2
31,Nebraska,NE,2,Midwest,4,3,3
32,Nevada,NV,4,West,8,2,1
33,New Hampshire,NH,1,Northeast,1,1,10
34,New Jersey,NJ,1,Northeast,2,2,8
35,New Mexico,NM,4,West,8,4,2
36,New York,NY,1,Northeast,2,1,8
37,North Carolina,NC,3,South,5,4,6
38,North Dakota,ND,2,Midwest,4,1,3
39,Ohio,OH,2,Midwest,3,2,6
40,Oklahoma,OK,3,South,7,5,3
41,Oregon,OR,4,West,9,2,0
42,Pennsylvania,PA,1,Northeast,2,2,7
44,Rhode Island,RI,1,Northeast,1,2,10
45,South Carolina,SC,3,South,5,4,7
46,South Dakota,SD,2,Midwest,4,2,3
47,Tennessee,TN,3,South,6,4,5
48,Texas,TX,3,South,7,6,3
49,Utah,UT,4,West,8,3,1
50,Vermont,VT,1,Northeast,1,0,9
51,Virginia,VA,3,South,5,3,7
53,Washington,WA,4,West,9,1,0
54,West Virginia,WV,3,South,5,3,6
55,Wisconsin,WI,2,Midwest,3,0,5
56,Wyoming,WY,4,West,8,2,2
